시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-19 10:48:09,57.89,2.74,15.43,252.81
2025-09-19 10:48:19,55.13,2.47,16.14,264.41
2025-09-19 10:48:29,57.95,2.81,15.37,251.84
2025-09-19 10:48:39,57.47,2.58,16.06,263.10
2025-09-19 10:48:49,59.96,2.63,15.32,251.06
2025-09-19 10:48:59,60.25,4.09,15.00,245.69
2025-09-19 10:49:09,58.58,2.50,16.23,265.85
2025-09-19 10:49:19,62.78,2.55,15.23,249.60
2025-09-19 10:49:30,56.04,2.52,16.46,269.63
2025-09-19 10:49:40,56.87,2.62,16.21,265.52
2025-09-19 10:49:50,59.38,3.93,15.27,250.13
2025-09-19 10:50:00,47.47,2.69,19.09,312.82
2025-09-19 10:50:10,59.46,2.55,15.55,254.70
2025-09-19 10:50:20,47.41,2.54,19.14,313.52
2025-09-19 10:50:30,52.20,2.57,16.87,276.42
2025-09-19 10:50:40,59.69,2.52,15.53,254.47
2025-09-19 10:50:50,60.96,2.48,15.24,249.63
2025-09-19 10:51:00,57.78,2.53,15.96,261.46
2025-09-19 10:51:10,59.85,3.83,15.19,248.82
2025-09-19 10:51:20,57.35,2.66,15.56,255.00
2025-09-19 10:51:30,44.58,2.47,19.48,319.24
2025-09-19 10:51:40,62.03,2.69,14.94,244.75
2025-09-19 10:51:50,56.97,4.05,15.79,258.65
2025-09-19 10:52:00,57.00,2.80,16.15,264.56
2025-09-19 10:52:10,60.53,2.42,15.34,251.29
2025-09-19 10:52:20,61.31,2.61,15.13,247.87
2025-09-19 10:52:30,57.12,3.78,15.37,251.87
2025-09-19 10:52:40,62.71,2.63,14.81,242.62
2025-09-19 10:52:50,59.76,2.66,15.48,253.69
2025-09-19 10:53:00,61.17,2.44,15.20,249.03
2025-09-19 10:53:10,61.30,2.97,15.03,246.27
2025-09-19 10:53:20,62.28,2.57,14.93,244.57
2025-09-19 10:53:30,60.39,2.59,15.35,251.52
2025-09-19 10:53:40,59.38,2.57,15.55,254.84
2025-09-19 10:53:50,61.08,2.46,15.22,249.36
2025-09-19 10:54:00,56.84,2.58,16.24,266.10
2025-09-19 10:54:10,57.34,2.71,16.06,263.06
2025-09-19 10:54:20,59.89,3.44,15.26,249.97
2025-09-19 10:54:30,61.02,2.47,15.23,249.54
2025-09-19 10:54:40,58.41,2.60,15.78,258.59
2025-09-19 10:54:50,60.87,2.67,15.23,249.48
2025-09-19 10:55:00,58.17,2.77,15.82,259.25
2025-09-19 10:55:11,59.74,2.48,15.45,253.19
2025-09-19 10:55:21,60.28,2.64,15.32,251.00
2025-09-19 10:55:31,62.10,2.75,14.93,244.53
2025-09-19 10:55:41,57.01,2.95,16.08,263.43
2025-09-19 10:55:51,54.24,2.43,16.41,268.81
2025-09-19 10:56:01,58.73,2.65,15.59,255.45
2025-09-19 10:56:11,47.89,2.69,18.96,310.71
2025-09-19 10:56:21,60.19,2.86,15.30,250.59
2025-09-19 10:56:31,59.85,2.78,15.43,252.86
2025-09-19 10:56:41,61.30,3.89,14.84,243.18
2025-09-19 10:56:51,60.66,2.56,15.28,250.38
2025-09-19 10:57:01,56.55,2.49,16.32,267.43
2025-09-19 10:57:11,61.72,2.48,15.06,246.81
2025-09-19 10:57:21,60.56,3.78,14.99,245.54
2025-09-19 10:57:31,56.02,2.62,15.89,260.29
2025-09-19 10:57:41,57.11,2.50,15.94,261.20
2025-09-19 10:57:51,61.46,2.53,15.06,246.77
2025-09-19 10:58:01,56.68,2.51,16.28,266.80
2025-09-19 10:58:11,58.50,2.55,15.82,259.12
2025-09-19 10:58:21,61.45,2.66,15.06,246.70
2025-09-19 10:58:31,60.04,2.65,15.40,252.28
2025-09-19 10:58:41,58.42,2.58,15.82,259.18
2025-09-19 10:58:51,59.25,3.94,14.98,245.38
2025-09-19 10:59:01,47.72,2.59,18.93,310.19
2025-09-19 10:59:11,61.38,3.75,14.85,243.32
2025-09-19 10:59:21,48.01,2.49,18.99,311.05
2025-09-19 10:59:31,56.08,2.50,16.45,269.50
2025-09-19 10:59:42,60.79,3.60,15.01,245.94
2025-09-19 10:59:52,59.48,2.68,15.50,254.00
2025-09-19 11:00:02,60.14,2.71,15.37,251.87
2025-09-19 11:00:12,60.64,3.15,15.14,248.13
2025-09-19 11:00:22,60.16,3.96,15.07,246.85
2025-09-19 11:00:32,59.43,2.69,15.55,254.81
2025-09-19 11:00:42,47.50,2.53,19.14,313.52
2025-09-19 11:00:52,60.87,2.51,15.21,249.21
2025-09-19 11:01:02,59.74,2.82,15.44,252.89
2025-09-19 11:01:12,56.65,2.54,15.75,258.02
2025-09-19 11:01:22,57.33,2.41,15.66,256.55
2025-09-19 11:01:32,61.03,2.76,15.12,247.79
2025-09-19 11:01:42,60.92,2.59,15.22,249.33
2025-09-19 11:01:52,58.98,2.52,15.62,255.90
2025-09-19 11:02:02,50.78,3.52,17.65,289.16
2025-09-19 11:02:12,59.40,2.45,15.60,255.53
2025-09-19 11:02:22,60.58,3.56,15.08,247.00
2025-09-19 11:02:32,48.84,2.67,18.53,303.54
2025-09-19 11:02:42,59.02,2.44,15.69,257.12
2025-09-19 11:02:52,57.49,3.78,15.74,257.87
2025-09-19 11:03:02,60.59,2.54,15.30,250.71
2025-09-19 11:03:12,61.89,2.54,15.01,245.86
2025-09-19 11:03:22,59.37,2.55,15.60,255.60
2025-09-19 11:03:32,58.41,2.76,15.52,254.35
2025-09-19 11:03:42,48.28,2.60,18.82,308.39
2025-09-19 11:03:52,48.60,2.45,18.70,306.39
2025-09-19 11:04:02,59.67,2.59,15.46,253.28
2025-09-19 11:04:12,49.27,2.63,18.48,302.79
2025-09-19 11:04:23,56.77,2.71,16.21,265.57
2025-09-19 11:04:33,45.07,2.45,19.34,316.79
2025-09-19 11:04:43,48.79,2.93,18.54,303.82
2025-09-19 11:04:53,59.32,2.72,15.55,254.85
2025-09-19 11:05:03,47.43,2.66,18.94,310.23
2025-09-19 11:05:13,59.94,2.58,15.43,252.77
2025-09-19 11:05:23,56.87,2.96,16.13,264.22
2025-09-19 11:05:33,55.02,2.54,16.14,264.52
2025-09-19 11:05:43,47.76,3.87,18.29,299.62
2025-09-19 11:05:53,60.07,2.73,15.33,251.23
2025-09-19 11:06:03,49.30,2.60,18.45,302.30
2025-09-19 11:06:13,56.52,4.25,15.60,255.53
2025-09-19 11:06:23,55.79,2.67,15.99,261.90
2025-09-19 11:06:33,49.23,3.89,18.09,296.32
2025-09-19 11:06:43,60.68,2.94,15.20,249.01
2025-09-19 11:06:53,58.24,2.65,15.82,259.14
2025-09-19 11:07:03,60.67,2.47,15.31,250.79
2025-09-19 11:07:13,48.45,2.59,18.70,306.35
2025-09-19 11:07:23,57.87,2.53,15.92,260.85
2025-09-19 11:07:33,60.26,2.75,15.34,251.30
2025-09-19 11:07:43,56.99,2.43,16.20,265.49
2025-09-19 11:07:53,59.37,2.79,15.52,254.33
2025-09-19 11:08:03,60.72,2.83,15.19,248.89
2025-09-19 11:08:13,59.96,2.49,15.36,251.70
2025-09-19 11:08:23,58.83,2.78,15.65,256.47
2025-09-19 11:08:33,56.46,3.97,15.95,261.34
2025-09-19 11:08:43,59.63,2.82,15.47,253.40
2025-09-19 11:08:53,59.42,2.69,15.54,254.67
2025-09-19 11:09:03,62.07,3.34,14.79,242.35
2025-09-19 11:09:13,60.31,3.83,15.03,246.32
2025-09-19 11:09:24,59.53,2.89,15.43,252.86
2025-09-19 11:09:34,59.68,2.48,15.52,254.24
2025-09-19 11:09:44,46.87,2.43,19.21,314.82
2025-09-19 11:09:54,60.46,2.80,15.26,249.99
2025-09-19 11:10:04,60.82,2.57,15.06,246.68
2025-09-19 11:10:14,59.45,2.57,15.53,254.49
2025-09-19 11:10:24,47.00,2.72,18.98,310.94
2025-09-19 11:10:34,60.80,2.63,15.21,249.13
2025-09-19 11:10:44,49.56,3.59,17.94,293.88
2025-09-19 11:10:54,46.96,2.76,19.15,313.80
2025-09-19 11:11:04,60.76,3.23,15.07,246.85
2025-09-19 11:11:14,56.25,2.60,15.84,259.55
2025-09-19 11:11:24,59.62,2.52,15.53,254.36
2025-09-19 11:11:34,61.37,2.46,15.07,246.94
2025-09-19 11:11:44,59.38,2.97,15.48,253.68
2025-09-19 11:11:54,54.39,2.59,16.83,275.80
2025-09-19 11:12:04,57.37,2.96,16.00,262.14
2025-09-19 11:12:14,41.55,2.60,21.34,349.72
2025-09-19 11:12:24,42.35,2.71,21.11,345.95
2025-09-19 11:12:34,42.55,2.52,21.32,349.29
2025-09-19 11:12:44,39.01,3.13,21.59,353.76
2025-09-19 11:12:54,42.30,2.57,21.19,347.22
2025-09-19 11:13:04,42.07,2.57,21.25,348.22
2025-09-19 11:13:14,42.26,2.54,21.20,347.27
2025-09-19 11:13:24,42.02,2.65,21.17,346.89
2025-09-19 11:13:34,42.29,2.68,21.14,346.37
2025-09-19 11:13:44,42.55,3.01,20.92,342.74
2025-09-19 11:13:54,42.09,2.53,21.22,347.65
2025-09-19 11:14:04,42.41,2.46,21.22,347.72
2025-09-19 11:14:14,42.35,2.71,21.09,345.55
2025-09-19 11:14:24,42.34,2.60,21.16,346.74
2025-09-19 11:14:34,41.86,2.57,21.43,351.12
2025-09-19 11:14:44,42.50,3.51,20.76,340.06
2025-09-19 11:14:54,42.24,3.01,21.03,344.62
2025-09-19 11:15:04,42.07,3.17,21.09,345.46
2025-09-19 11:15:14,42.25,3.35,20.87,341.87
2025-09-19 11:15:24,41.98,2.49,21.31,349.13
2025-09-19 11:15:34,42.01,2.51,21.30,349.05
2025-09-19 11:15:44,42.09,2.59,21.26,348.27
2025-09-19 11:15:54,43.02,4.45,20.05,328.54
2025-09-19 11:16:04,41.80,2.89,21.25,348.20
2025-09-19 11:16:14,42.15,2.65,21.20,347.33
